,Player,Age,Pos,Date,Tm,@,Opp,WL,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB
15625,Lou Williams,30-130,G,3/6/17,HOU,@,SAS,L,0,19,1,10,0.1,1,7,0.143,0,3,0,3,3,1,0,1,1
15626,Lou Williams,30-125,G,3/1/17,HOU,@,LAC,W,0,21,2,11,0.182,1,4,0.25,1,7,0.143,0,0,,1,1,2
15627,Marvin Williams,30-241,F,2/15/17,CHO,@,TOR,L,1,39,2,9,0.222,1,2,0.5,1,7,0.143,0,0,,2,7,9
15628,Marvin Williams,30-173,F,12/9/16,CHO,,ORL,W,1,21,1,5,0.2,0,1,0,1,4,0.25,2,2,1,1,5,6
15629,Reggie Williams,30-090,F,12/13/16,NOP,,GSW,L,0,9,1,3,0.333,0,1,0,1,2,0.5,2,2,1,0,0,0
15630,Troy Williams,21-337,F,12/1/16,MEM,,ORL,W,1,35,2,13,0.154,1,7,0.143,1,6,0.167,0,0,,0,2,2
15631,Jeff Withey,26-312,C,1/13/17,UTA,,DET,W,0,3,1,1,1,1,1,1,0,0,,3,3,1,1,0,1
15632,Christian Wood,21-151,F,2/25/17,CHO,@,SAC,W,0,10,1,3,0.333,1,2,0.5,0,1,0,3,4,0.75,3,1,4
15633,Brandan Wright,29-126,F-C,2/8/17,MEM,,PHO,W,0,21,2,8,0.25,2,8,0.25,0,0,,1,4,0.25,2,1,3
15634,Delon Wright,24-307,G,2/27/17,TOR,@,NYK,W,0,15,1,2,0.5,0,0,,1,2,0.5,2,2,1,0,1,1
15635,James Young,21-181,G-F,2/13/17,BOS,@,DAL,W,0,12,2,3,0.667,1,2,0.5,1,1,1,0,0,,2,2,4
15636,James Young,21-164,G-F,1/27/17,BOS,,ORL,W,0,9,1,2,0.5,0,1,0,1,1,1,2,3,0.667,0,1,1
15637,James Young,21-192,G-F,2/24/17,BOS,@,TOR,L,0,12,2,4,0.5,1,1,1,1,3,0.333,0,0,,0,1,1
15638,James Young,21-161,G-F,1/24/17,BOS,@,WAS,L,0,13,1,4,0.25,0,1,0,1,3,0.333,2,2,1,1,1,2
15639,James Young,21-184,G-F,2/16/17,BOS,@,CHI,L,0,9,2,3,0.667,1,2,0.5,1,1,1,0,0,,0,1,1
15640,Joe Young,24-226,G,2/8/17,IND,,CLE,L,0,2,2,2,1,1,1,1,1,1,1,0,0,,0,0,0
15641,Joe Young,24-131,G,11/5/16,IND,,CHI,W,0,3,2,2,1,2,2,1,0,0,,1,2,0.5,0,0,0
15642,Joe Young,24-199,G,1/12/17,IND,@,DEN,L,0,3,2,3,0.667,1,1,1,1,2,0.5,0,0,,0,0,0
15643,Nick Young,31-167,G-F,11/15/16,LAL,,BRK,W,1,28,2,8,0.25,1,2,0.5,1,6,0.167,0,0,,0,1,1
15644,Nick Young,31-259,G-F,2/15/17,LAL,@,PHO,L,1,24,2,10,0.2,1,4,0.25,1,6,0.167,0,0,,1,3,4
15645,Nick Young,31-205,G-F,12/23/16,LAL,@,ORL,L,1,28,2,7,0.286,1,4,0.25,1,3,0.333,0,2,0,1,2,3
15646,Nick Young,31-219,G-F,1/6/17,LAL,,MIA,W,1,29,1,9,0.111,0,3,0,1,6,0.167,2,2,1,1,4,5
15647,Thaddeus Young,28-141,F,11/9/16,IND,,PHI,W,1,36,2,6,0.333,2,5,0.4,0,1,0,1,4,0.25,1,4,5
15648,Thaddeus Young,28-171,F,12/9/16,IND,@,DAL,L,1,20,2,5,0.4,1,3,0.333,1,2,0.5,0,0,,0,4,4
15649,Thaddeus Young,28-216,F,1/23/17,IND,,NYK,L,1,31,2,6,0.333,1,5,0.2,1,1,1,0,0,,1,2,3
15650,Tyler Zeller,27-041,F-C,2/27/17,BOS,,ATL,L,0,9,2,2,1,2,2,1,0,0,,1,1,1,1,0,1
15651,Tyler Zeller,26-306,F-C,11/18/16,BOS,,GSW,L,0,23,2,6,0.333,2,6,0.333,0,0,,1,2,0.5,3,4,7
15652,Paul Zipser,22-334,G-F,1/17/17,CHI,,DAL,L,1,19,2,5,0.4,1,3,0.333,1,2,0.5,0,0,,0,3,3
15653,Paul Zipser,22-332,G-F,1/15/17,CHI,@,MEM,W,1,15,2,3,0.667,2,2,1,0,1,0,1,2,0.5,0,2,2
15654,Paul Zipser,22-341,G-F,1/24/17,CHI,@,ORL,W,0,20,1,4,0.25,0,1,0,1,3,0.333,2,2,1,0,1,1
15655,Ivica Zubac,19-327,C,2/8/17,LAL,@,DET,L,0,22,2,5,0.4,2,5,0.4,0,0,,1,2,0.5,1,1,2
15656,Alex Abrines,23-168,G-F,1/16/17,OKC,@,LAC,L,0,14,1,4,0.25,1,3,0.333,0,1,0,2,3,0.667,0,0,0
15657,Quincy Acy,26-146,F,3/1/17,BRK,@,SAC,W,0,11,1,2,0.5,0,0,,1,2,0.5,1,2,0.5,0,3,3
15658,Quincy Acy,26-096,F,1/10/17,BRK,,ATL,L,0,1,1,1,1,0,0,,1,1,1,1,3,0.333,1,0,1
15659,Steven Adams,23-230,C,3/7/17,OKC,,POR,L,1,29,1,1,1,1,1,1,0,0,,2,5,0.4,0,3,3
15660,Steven Adams,23-117,C,11/14/16,OKC,@,DET,L,1,29,1,3,0.333,1,3,0.333,0,0,,2,4,0.5,5,6,11
15661,Steven Adams,23-177,C,1/13/17,OKC,@,MIN,L,1,32,2,5,0.4,2,5,0.4,0,0,,0,0,,3,2,5
15662,Arron Afflalo,31-043,G,11/27/16,SAC,@,BRK,W,1,21,2,3,0.667,2,3,0.667,0,0,,0,0,,0,4,4
15663,Arron Afflalo,31-123,G,2/15/17,SAC,@,GSW,L,1,16,1,4,0.25,0,2,0,1,2,0.5,1,1,1,0,0,0
15664,Arron Afflalo,31-041,G,11/25/16,SAC,,HOU,L,0,16,2,6,0.333,2,4,0.5,0,2,0,0,0,,0,2,2
15665,Arron Afflalo,31-087,G,1/10/17,SAC,,DET,W,0,11,1,1,1,1,1,1,0,0,,2,2,1,0,1,1
15666,Alexis Ajinca,28-176,C,10/29/16,NOP,@,SAS,L,0,15,2,5,0.4,2,5,0.4,0,0,,0,0,,1,5,6
15667,Alexis Ajinca,28-313,C,3/15/17,NOP,@,MIA,L,0,8,2,2,1,2,2,1,0,0,,0,0,,1,2,3
15668,Alexis Ajinca,28-192,C,11/14/16,NOP,,BOS,W,0,6,2,4,0.5,2,4,0.5,0,0,,0,0,,1,1,2
15669,Cole Aldrich,28-033,C,12/3/16,MIN,@,CHO,W,0,22,2,4,0.5,2,4,0.5,0,0,,0,0,,3,5,8
15670,Cole Aldrich,28-139,C,3/19/17,MIN,@,NOP,L,0,7,2,2,1,2,2,1,0,0,,0,0,,0,2,2
15671,Cole Aldrich,28-049,C,12/19/16,MIN,,PHO,W,0,8,1,1,1,1,1,1,0,0,,2,2,1,0,0,0
15672,Cole Aldrich,27-361,C,10/26/16,MIN,@,MEM,L,0,10,2,4,0.5,2,4,0.5,0,0,,0,0,,1,1,2
15673,Cole Aldrich,28-067,C,1/6/17,MIN,@,WAS,L,0,8,2,2,1,2,2,1,0,0,,0,0,,2,2,4
15674,Cole Aldrich,28-085,C,1/24/17,MIN,@,PHO,W,0,8,2,2,1,2,2,1,0,0,,0,0,,1,3,4
15675,Cole Aldrich,28-025,C,11/25/16,MIN,@,PHO,W,0,11,0,1,0,0,1,0,0,0,,4,4,1,2,3,5
15676,Cole Aldrich,28-039,C,12/9/16,MIN,,DET,L,0,20,1,2,0.5,1,2,0.5,0,0,,2,3,0.667,0,1,1
15677,Cole Aldrich,28-008,C,11/8/16,MIN,@,BRK,L,0,23,1,3,0.333,1,3,0.333,0,0,,2,2,1,2,3,5
15678,Cole Aldrich,28-023,C,11/23/16,MIN,@,NOP,L,0,14,2,4,0.5,2,4,0.5,0,0,,0,0,,1,4,5
15679,Lavoy Allen,27-358,F-C,1/27/17,IND,,SAC,W,0,16,2,4,0.5,2,4,0.5,0,0,,0,0,,2,2,4
15680,Lavoy Allen,28-007,F-C,2/11/17,IND,,MIL,L,1,19,2,3,0.667,2,3,0.667,0,0,,0,2,0,3,3,6
15681,Lavoy Allen,27-277,F-C,11/7/16,IND,@,CHO,L,0,22,2,2,1,2,2,1,0,0,,0,0,,2,5,7
15682,Lavoy Allen,28-023,F-C,2/27/17,IND,@,HOU,W,0,22,2,9,0.222,2,9,0.222,0,0,,0,0,,6,5,11
15683,Lavoy Allen,27-288,F-C,11/18/16,IND,,PHO,L,0,13,2,3,0.667,2,3,0.667,0,0,,0,0,,2,2,4
15684,Lavoy Allen,28-021,F-C,2/25/17,IND,@,MIA,L,0,16,2,5,0.4,2,5,0.4,0,0,,0,0,,2,4,6
15685,Lavoy Allen,27-271,F-C,11/1/16,IND,,LAL,W,0,19,2,3,0.667,2,3,0.667,0,0,,0,0,,2,1,3
15686,Tony Allen,34-313,G-F,11/19/16,MEM,,MIN,W,1,20,2,8,0.25,2,8,0.25,0,0,,0,0,,0,1,1
15687,Tony Allen,35-004,G-F,1/15/17,MEM,,CHI,L,1,33,2,8,0.25,2,7,0.286,0,1,0,0,0,,2,6,8
15688,Tony Allen,35-021,G-F,2/1/17,MEM,@,DEN,W,1,30,2,8,0.25,2,8,0.25,0,0,,0,0,,2,1,3
15689,Tony Allen,34-298,G-F,11/4/16,MEM,,LAC,L,1,19,2,7,0.286,2,6,0.333,0,1,0,0,0,,1,2,3
15690,Tony Allen,34-296,G-F,11/2/16,MEM,,NOP,W,1,28,1,8,0.125,1,7,0.143,0,1,0,2,5,0.4,2,1,3
15691,Tony Allen,34-295,G-F,11/1/16,MEM,@,MIN,L,0,19,2,7,0.286,2,7,0.286,0,0,,0,0,,4,0,4
15692,Tony Allen,35-059,G-F,3/11/17,MEM,,ATL,L,0,21,2,7,0.286,2,7,0.286,0,0,,0,0,,3,2,5
15693,Tony Allen,34-319,G-F,11/25/16,MEM,,MIA,L,1,24,2,7,0.286,2,5,0.4,0,2,0,0,0,,2,1,3
15694,Chris Andersen,38-141,F-C,11/25/16,CLE,,DAL,W,0,19,2,4,0.5,2,3,0.667,0,1,0,0,0,,3,3,6
15695,Chris Andersen,38-155,F-C,12/9/16,CLE,,MIA,W,0,12,1,1,1,1,1,1,0,0,,2,2,1,1,3,4
15696,Alan Anderson,34-061,G-F,12/16/16,LAC,@,MIA,W,0,12,1,1,1,0,0,,1,1,1,1,2,0.5,0,0,0
15697,Justin Anderson,22-363,G,11/16/16,DAL,@,BOS,L,0,21,2,3,0.667,2,3,0.667,0,0,,0,0,,1,2,3
15698,Justin Anderson,23-011,G,11/30/16,DAL,,SAS,L,0,21,1,4,0.25,1,1,1,0,3,0,2,2,1,0,1,1
15699,Justin Anderson,22-353,G,11/6/16,DAL,,MIL,W,1,10,2,5,0.4,2,3,0.667,0,2,0,0,0,,0,2,2
15700,Kyle Anderson,23-135,F-G,2/2/17,SAS,,PHI,W,0,24,1,3,0.333,1,3,0.333,0,0,,2,2,1,0,5,5
15701,Kyle Anderson,23-129,F-G,1/27/17,SAS,@,NOP,L,0,18,0,2,0,0,1,0,0,1,0,4,4,1,0,2,2
15702,Kyle Anderson,23-101,F-G,12/30/16,SAS,,POR,W,1,28,2,6,0.333,2,4,0.5,0,2,0,0,0,,2,6,8
15703,Kyle Anderson,23-135,F-G,2/2/17,SAS,,PHI,W,0,24,1,3,0.333,1,3,0.333,0,0,,2,2,1,0,5,5
15704,Ryan Anderson,28-218,F,12/10/16,HOU,,DAL,W,1,30,2,8,0.25,2,5,0.4,0,3,0,0,0,,0,7,7
15705,Joel Anthony,34-171,C,1/27/17,SAS,@,NOP,L,0,8,1,1,1,1,1,1,0,0,,2,2,1,0,1,1
15706,Joel Anthony,34-214,C,3/11/17,SAS,,GSW,W,0,13,2,4,0.5,2,4,0.5,0,0,,0,0,,0,1,1
15707,Joel Anthony,34-177,C,2/2/17,SAS,,PHI,W,0,13,2,3,0.667,2,3,0.667,0,0,,0,0,,2,2,4
15708,Darrell Arthur,28-344,F,3/4/17,DEN,,CHO,L,0,16,2,5,0.4,2,3,0.667,0,2,0,0,0,,1,4,5
15709,Omer Asik,30-133,C,11/14/16,NOP,,BOS,W,1,12,2,2,1,2,2,1,0,0,,0,0,,1,3,4
15710,Omer Asik,30-151,C,12/2/16,NOP,,LAC,L,1,18,2,3,0.667,2,3,0.667,0,0,,0,0,,2,3,5
15711,D.J. Augustin,29-123,G,3/13/17,ORL,@,SAC,L,0,14,1,7,0.143,1,3,0.333,0,4,0,2,2,1,0,2,2
15712,D.J. Augustin,29-116,G,3/6/17,ORL,,NYK,L,0,13,1,4,0.25,0,1,0,1,3,0.333,1,2,0.5,1,0,1
15713,Luke Babbitt,27-161,F,11/28/16,MIA,,BOS,L,1,23,2,7,0.286,2,3,0.667,0,4,0,0,0,,0,2,2
15714,Ron Baker,23-217,G,11/2/16,NYK,,HOU,L,0,16,1,5,0.2,0,2,0,1,3,0.333,1,2,0.5,1,0,1
15715,Ron Baker,23-262,G,12/17/16,NYK,@,DEN,L,0,12,2,7,0.286,2,4,0.5,0,3,0,0,0,,1,4,5
15716,Wade Baldwin,20-280,G,1/3/17,MEM,@,LAL,L,0,8,0,0,,0,0,,0,0,,4,4,1,0,1,1
15717,Wade Baldwin,20-251,G,12/5/16,MEM,@,NOP,W,0,21,1,5,0.2,1,4,0.25,0,1,0,2,2,1,0,1,1
15718,Wade Baldwin,20-218,G,11/2/16,MEM,,NOP,W,0,24,2,5,0.4,2,5,0.4,0,0,,0,0,,0,3,3
15719,Leandro Barbosa,34-107,G,3/15/17,PHO,,SAC,L,0,10,2,6,0.333,2,6,0.333,0,0,,0,0,,0,2,2
15720,Leandro Barbosa,34-049,G,1/16/17,PHO,,UTA,L,0,16,2,3,0.667,2,2,1,0,1,0,0,0,,0,3,3
15721,Leandro Barbosa,34-068,G,2/4/17,PHO,,MIL,L,0,10,2,4,0.5,2,4,0.5,0,0,,0,0,,0,0,0
15722,Leandro Barbosa,33-361,G,11/23/16,PHO,@,ORL,W,0,16,2,3,0.667,2,3,0.667,0,0,,0,0,,0,2,2
15723,Leandro Barbosa,34-103,G,3/11/17,PHO,@,DAL,W,0,15,2,5,0.4,2,4,0.5,0,1,0,0,0,,0,0,0
15724,Leandro Barbosa,34-028,G,12/26/16,PHO,@,HOU,L,0,12,2,3,0.667,2,3,0.667,0,0,,0,0,,0,0,0
15725,Leandro Barbosa,34-045,G,1/12/17,PHO,,DAL,L,0,17,2,5,0.4,2,5,0.4,0,0,,0,0,,0,2,2
15726,Leandro Barbosa,34-059,G,1/26/17,PHO,@,DEN,L,0,9,2,3,0.667,2,3,0.667,0,0,,0,0,,0,1,1
15727,Leandro Barbosa,34-035,G,1/2/17,PHO,@,LAC,L,0,9,1,5,0.2,1,4,0.25,0,1,0,2,2,1,1,0,1
15728,Leandro Barbosa,34-072,G,2/8/17,PHO,@,MEM,L,0,17,2,11,0.182,2,7,0.286,0,4,0,0,0,,1,3,4
15729,Harrison Barnes,24-291,F,3/17/17,DAL,@,PHI,L,1,24,2,7,0.286,2,6,0.333,0,1,0,0,0,,0,5,5
15730,Matt Barnes,36-303,F,1/6/17,SAC,,LAC,L,1,24,1,6,0.167,0,4,0,1,2,0.5,1,2,0.5,1,5,6
15731,Brandon Bass,31-236,F,12/22/16,LAC,,SAS,W,0,13,2,4,0.5,2,4,0.5,0,0,,0,0,,1,3,4
15732,Brandon Bass,31-198,F,11/14/16,LAC,,BRK,W,0,22,2,4,0.5,2,4,0.5,0,0,,0,0,,0,4,4
15733,Brandon Bass,31-266,F,1/21/17,LAC,@,DEN,L,0,18,2,6,0.333,2,6,0.333,0,0,,0,0,,0,3,3
15734,Brandon Bass,31-291,F,2/15/17,LAC,,ATL,W,0,6,1,2,0.5,1,2,0.5,0,0,,2,2,1,0,1,1
15735,Brandon Bass,31-284,F,2/8/17,LAC,@,NYK,W,0,8,2,3,0.667,2,3,0.667,0,0,,0,0,,0,0,0
15736,Brandon Bass,31-313,F,3/9/17,LAC,@,MEM,W,0,4,2,2,1,2,2,1,0,0,,0,0,,0,1,1
15737,Brandon Bass,31-259,F,1/14/17,LAC,,LAL,W,0,9,2,3,0.667,2,3,0.667,0,0,,0,0,,0,2,2
15738,Brandon Bass,31-207,F,11/23/16,LAC,@,DAL,W,0,7,2,5,0.4,2,5,0.4,0,0,,0,0,,0,0,0
15739,Nicolas Batum,28-040,F-G,1/23/17,CHO,,WAS,L,1,38,2,9,0.222,2,6,0.333,0,3,0,0,0,,1,6,7
15740,Jerryd Bayless,28-093,G,11/21/16,PHI,,MIA,W,0,15,1,7,0.143,1,5,0.2,0,2,0,2,2,1,1,1,2
15741,Aron Baynes,29-357,C,11/30/16,DET,@,BOS,W,0,13,0,1,0,0,1,0,0,0,,4,4,1,1,2,3
15742,Aron Baynes,30-045,C,1/23/17,DET,,SAC,L,0,14,2,3,0.667,2,3,0.667,0,0,,0,0,,1,0,1
15743,Aron Baynes,30-021,C,12/30/16,DET,@,ATL,L,0,13,1,3,0.333,1,3,0.333,0,0,,2,2,1,1,2,3
15744,Aron Baynes,30-063,C,2/10/17,DET,,SAS,L,0,9,2,5,0.4,2,5,0.4,0,0,,0,0,,0,0,0
15745,Aron Baynes,29-339,C,11/12/16,DET,@,DEN,W,0,20,1,2,0.5,1,2,0.5,0,0,,2,2,1,0,2,2
15746,Aron Baynes,30-098,C,3/17/17,DET,,TOR,L,0,11,2,4,0.5,2,4,0.5,0,0,,0,0,,0,4,4
15747,Aron Baynes,29-352,C,11/25/16,DET,,LAC,W,0,21,2,7,0.286,2,7,0.286,0,0,,0,0,,2,4,6
15748,Aron Baynes,30-057,C,2/4/17,DET,@,IND,L,0,17,1,3,0.333,1,3,0.333,0,0,,2,4,0.5,2,2,4
15749,Aron Baynes,30-095,C,3/14/17,DET,@,CLE,L,0,19,2,6,0.333,2,6,0.333,0,0,,0,0,,5,1,6
15750,Aron Baynes,29-350,C,11/23/16,DET,,MIA,W,0,18,2,2,1,2,2,1,0,0,,0,0,,0,7,7
15751,Aron Baynes,30-034,C,1/12/17,DET,@,GSW,L,0,5,2,2,1,2,2,1,0,0,,0,0,,0,2,2
15752,Aron Baynes,30-092,C,3/11/17,DET,,NYK,W,0,18,2,4,0.5,2,4,0.5,0,0,,0,0,,3,3,6
15753,Aron Baynes,30-010,C,12/19/16,DET,@,CHI,L,0,18,1,3,0.333,1,3,0.333,0,0,,2,2,1,0,1,1
15754,Aron Baynes,30-008,C,12/17/16,DET,,IND,L,0,9,1,3,0.333,1,3,0.333,0,0,,2,2,1,1,3,4
15755,Aron Baynes,29-329,C,11/2/16,DET,@,BRK,L,0,19,2,5,0.4,2,5,0.4,0,0,,0,0,,3,1,4
15756,Aron Baynes,30-089,C,3/8/17,DET,@,IND,L,0,10,2,2,1,2,2,1,0,0,,0,0,,1,2,3
15757,Aron Baynes,29-345,C,11/18/16,DET,@,CLE,L,0,15,1,3,0.333,1,3,0.333,0,0,,2,2,1,1,6,7
15758,Malik Beasley,20-047,G,1/12/17,DEN,,IND,W,0,3,2,2,1,2,2,1,0,0,,0,0,,1,0,1
15759,Malik Beasley,20-072,G,2/6/17,DEN,,DAL,W,0,2,2,3,0.667,2,3,0.667,0,0,,0,0,,1,0,1
15760,Michael Beasley,27-299,F,11/3/16,MIL,,IND,W,0,13,2,6,0.333,2,5,0.4,0,1,0,0,0,,0,2,2
15761,Michael Beasley,27-294,F,10/29/16,MIL,,BRK,W,0,9,2,2,1,2,2,1,0,0,,0,0,,0,0,0
15762,Marco Belinelli,30-335,G-F,2/23/17,CHO,@,DET,L,0,23,2,7,0.286,2,4,0.5,0,3,0,0,0,,1,7,8
15763,DeAndre' Bembry,22-212,F,2/1/17,ATL,@,MIA,L,0,22,2,6,0.333,2,6,0.333,0,0,,0,1,0,0,3,3
15764,DeAndre' Bembry,22-226,F,2/15/17,ATL,@,LAC,L,0,8,2,3,0.667,2,3,0.667,0,0,,0,0,,0,2,2
15765,DeAndre' Bembry,22-200,F,1/20/17,ATL,,CHI,W,0,10,2,4,0.5,2,4,0.5,0,0,,0,0,,0,0,0
15766,DeAndre' Bembry,22-198,F,1/18/17,ATL,@,DET,L,0,12,1,2,0.5,1,2,0.5,0,0,,2,5,0.4,1,2,3
15767,Anthony Bennett,23-268,F,12/7/16,BRK,,DEN,W,0,7,2,3,0.667,2,2,1,0,1,0,0,0,,2,0,2
15768,Anthony Bennett,23-275,F,12/14/16,BRK,,LAL,W,0,13,1,5,0.2,1,2,0.5,0,3,0,2,2,1,1,4,5
15769,Davis Bertans,24-068,F,1/19/17,SAS,,DEN,W,0,15,1,2,0.5,0,0,,1,2,0.5,1,2,0.5,0,2,2
15770,Patrick Beverley,28-161,G,12/20/16,HOU,,SAS,L,1,32,2,7,0.286,2,3,0.667,0,4,0,0,0,,3,5,8
15771,Bismack Biyombo,24-197,C-F,3/13/17,ORL,@,SAC,L,0,16,1,3,0.333,1,3,0.333,0,0,,2,2,1,1,3,4
15772,Bismack Biyombo,24-096,C-F,12/2/16,ORL,@,PHI,W,1,32,1,1,1,1,1,1,0,0,,2,6,0.333,4,9,13
15773,Bismack Biyombo,24-143,C-F,1/18/17,ORL,@,NOP,L,0,19,2,4,0.5,2,4,0.5,0,0,,0,0,,0,6,6
15774,Bismack Biyombo,24-171,C-F,2/15/17,ORL,,SAS,L,0,16,1,2,0.5,1,2,0.5,0,0,,2,3,0.667,1,2,3
15775,Bismack Biyombo,24-139,C-F,1/14/17,ORL,@,UTA,L,0,15,0,2,0,0,2,0,0,0,,4,4,1,1,3,4
15776,Bismack Biyombo,24-075,C-F,11/11/16,ORL,,UTA,L,0,23,1,5,0.2,1,5,0.2,0,0,,2,4,0.5,0,8,8
15777,Bismack Biyombo,24-091,C-F,11/27/16,ORL,,MIL,L,1,33,1,5,0.2,1,5,0.2,0,0,,2,4,0.5,1,3,4
15778,Bismack Biyombo,24-154,C-F,1/29/17,ORL,@,TOR,W,0,15,2,3,0.667,2,3,0.667,0,0,,0,2,0,0,5,5
15779,Bismack Biyombo,24-136,C-F,1/11/17,ORL,@,LAC,L,0,16,2,3,0.667,2,3,0.667,0,0,,0,0,,0,2,2
15780,Bismack Biyombo,24-101,C-F,12/7/16,ORL,,BOS,L,1,26,1,2,0.5,1,2,0.5,0,0,,2,4,0.5,2,3,5
15781,Bismack Biyombo,24-163,C-F,2/7/17,ORL,@,HOU,L,0,18,2,6,0.333,2,6,0.333,0,0,,0,2,0,1,4,5
15782,Bismack Biyombo,24-187,C-F,3/3/17,ORL,,MIA,W,0,16,2,4,0.5,2,4,0.5,0,0,,0,0,,1,1,2
15783,Bismack Biyombo,24-201,C-F,3/17/17,ORL,@,PHO,W,0,16,1,1,1,1,1,1,0,0,,2,2,1,0,3,3
15784,Bismack Biyombo,24-160,C-F,2/4/17,ORL,@,ATL,L,0,25,1,2,0.5,1,2,0.5,0,0,,2,2,1,0,2,2
15785,Bismack Biyombo,24-067,C-F,11/3/16,ORL,,SAC,W,0,22,2,2,1,2,2,1,0,0,,0,0,,3,6,9
15786,Nemanja Bjelica,28-243,F,1/7/17,MIN,,UTA,L,0,11,2,2,1,2,2,1,0,0,,0,0,,0,1,1
15787,Nemanja Bjelica,28-270,F,2/3/17,MIN,@,DET,L,0,23,2,5,0.4,2,5,0.4,0,0,,0,0,,1,5,6
15788,Tarik Black,25-073,C-F,2/3/17,LAL,@,BOS,L,1,18,2,6,0.333,2,6,0.333,0,0,,0,2,0,4,2,6
15789,Tarik Black,24-339,C-F,10/26/16,LAL,,HOU,W,0,12,1,2,0.5,1,2,0.5,0,0,,2,2,1,1,3,4
15790,Tarik Black,24-350,C-F,11/6/16,LAL,,PHO,W,0,17,2,6,0.333,2,6,0.333,0,0,,0,0,,3,4,7
15791,Tarik Black,25-011,C-F,12/3/16,LAL,@,MEM,L,0,15,2,5,0.4,2,5,0.4,0,0,,0,0,,2,4,6
15792,Tarik Black,25-065,C-F,1/26/17,LAL,@,UTA,L,1,30,2,6,0.333,2,6,0.333,0,0,,0,0,,1,1,2
15793,Tarik Black,24-364,C-F,11/20/16,LAL,,CHI,L,0,16,1,3,0.333,1,3,0.333,0,0,,2,2,1,3,3,6
15794,Tarik Black,25-064,C-F,1/25/17,LAL,@,POR,L,0,8,2,3,0.667,2,3,0.667,0,0,,0,0,,2,4,6
15795,Tarik Black,24-346,C-F,11/2/16,LAL,@,ATL,W,0,16,2,4,0.5,2,4,0.5,0,0,,0,0,,2,1,3
15796,Bojan Bogdanovic,27-193,G-F,10/28/16,BRK,,IND,W,1,28,1,6,0.167,1,4,0.25,0,2,0,2,2,1,0,1,1
15797,Andrew Bogut,31-361,C,11/23/16,DAL,,LAC,L,1,25,2,2,1,2,2,1,0,0,,0,0,,4,8,12
15798,Andrew Bogut,31-335,C,10/28/16,DAL,,HOU,L,1,27,2,4,0.5,2,4,0.5,0,0,,0,0,,1,11,12
15799,Andrew Bogut,31-357,C,11/19/16,DAL,@,ORL,L,1,34,2,6,0.333,2,6,0.333,0,0,,0,0,,2,6,8
15800,Andrew Bogut,32-079,C,2/15/17,DAL,@,DET,L,0,18,2,4,0.5,2,4,0.5,0,0,,0,0,,3,5,8
15801,Andrew Bogut,31-335,C,10/28/16,DAL,,HOU,L,1,27,2,4,0.5,2,4,0.5,0,0,,0,0,,1,11,12
15802,Andrew Bogut,31-357,C,11/19/16,DAL,@,ORL,L,1,34,2,6,0.333,2,6,0.333,0,0,,0,0,,2,6,8
15803,Trevor Booker,28-343,F,11/2/16,BRK,,DET,W,1,30,2,6,0.333,2,6,0.333,0,0,,0,0,,1,3,4
15804,Trevor Booker,28-359,F,11/18/16,BRK,@,OKC,L,1,22,2,5,0.4,2,4,0.5,0,1,0,0,0,,0,4,4
15805,Trevor Booker,29-027,F,12/22/16,BRK,,GSW,L,1,24,2,5,0.4,2,5,0.4,0,0,,0,0,,3,4,7
15806,Trevor Booker,29-044,F,1/8/17,BRK,,PHI,L,1,18,2,3,0.667,2,3,0.667,0,0,,0,0,,1,3,4
15807,Trevor Booker,28-355,F,11/14/16,BRK,@,LAC,L,1,22,1,2,0.5,1,2,0.5,0,0,,2,2,1,0,3,3
15808,Corey Brewer,30-247,F-G,11/7/16,HOU,@,WAS,W,1,16,1,2,0.5,1,1,1,0,1,0,2,2,1,0,3,3
15809,Corey Brewer,31-000,F-G,3/5/17,LAL,,NOP,L,0,16,2,5,0.4,2,3,0.667,0,2,0,0,0,,0,2,2
15810,Corey Brewer,30-321,F-G,1/20/17,HOU,,GSW,L,0,19,1,4,0.25,1,3,0.333,0,1,0,2,2,1,0,1,1
15811,Corey Brewer,30-242,F-G,11/2/16,HOU,@,NYK,W,0,14,1,2,0.5,1,2,0.5,0,0,,2,2,1,1,2,3
15812,Corey Brewer,31-010,F-G,3/15/17,LAL,@,HOU,L,0,22,2,5,0.4,2,3,0.667,0,2,0,0,0,,0,3,3
15813,Corey Brewer,30-303,F-G,1/2/17,HOU,,WAS,W,1,16,2,4,0.5,2,2,1,0,2,0,0,0,,0,1,1
15814,Corey Brewer,31-007,F-G,3/12/17,LAL,,PHI,L,0,10,2,6,0.333,2,6,0.333,0,0,,0,0,,0,0,0
15815,Corey Brewer,30-347,F-G,2/15/17,HOU,,MIA,L,0,27,2,4,0.5,2,3,0.667,0,1,0,0,0,,1,1,2
15816,Corey Brewer,30-254,F-G,11/14/16,HOU,,PHI,W,0,14,1,2,0.5,1,1,1,0,1,0,2,2,1,1,3,4
15817,Corey Brewer,30-235,F-G,10/26/16,HOU,@,LAL,L,0,15,2,4,0.5,2,3,0.667,0,1,0,0,2,0,0,0,0
