,Player,Age,Pos,Date,Tm,@,Opp,WL,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB
107,Damian Lillard,26-240,G,3/12/17,POR,@,PHO,W,1,38,13,26,0.5,9,16,0.563,4,10,0.4,9,9,1,1,5,6
108,Damian Lillard,26-102,G,10/25/16,POR,,UTA,W,1,35,13,20,0.65,9,14,0.643,4,6,0.667,9,9,1,1,8,9
109,Kevin Love,28-152,F,2/6/17,CLE,@,WAS,W,1,42,11,17,0.647,5,7,0.714,6,10,0.6,11,11,1,4,8,12
110,Isaiah Thomas,27-346,G,1/18/17,BOS,,NYK,L,1,37,12,25,0.48,7,13,0.538,5,12,0.417,10,10,1,2,1,3
111,Karl-Anthony Towns,21-118,F-C,3/13/17,MIN,,WAS,W,1,35,17,26,0.654,15,22,0.682,2,4,0.5,3,3,1,3,10,13
112,John Wall,26-186,G,3/11/17,WAS,@,POR,W,1,40,13,23,0.565,10,18,0.556,3,5,0.6,10,12,0.833,0,2,2
113,Bradley Beal,23-255,G,3/10/17,WAS,@,SAC,W,1,43,13,24,0.542,8,15,0.533,5,9,0.556,7,7,1,2,8,10
114,Devin Booker,20-005,G,11/4/16,PHO,@,NOP,W,1,41,13,22,0.591,10,15,0.667,3,7,0.429,9,9,1,0,4,4
115,Kentavious Caldwell-Pope,23-349,G,2/1/17,DET,,NOP,W,1,39,12,18,0.667,4,7,0.571,8,11,0.727,6,8,0.75,0,4,4
116,Mike Conley,29-111,G,1/30/17,MEM,@,PHO,W,1,33,12,18,0.667,5,8,0.625,7,10,0.7,7,8,0.875,0,6,6
117,DeMarcus Cousins,26-097,C-F,11/18/16,SAC,,LAC,L,1,37,12,29,0.414,10,22,0.455,2,7,0.286,12,14,0.857,4,9,13
118,Anthony Davis,23-352,F-C,2/26/17,NOP,@,OKC,L,1,32,15,28,0.536,13,25,0.52,2,3,0.667,6,6,1,3,4,7
119,Anthony Davis,23-253,F-C,11/19/16,NOP,,CHO,W,1,42,15,27,0.556,13,22,0.591,2,5,0.4,6,8,0.75,2,14,16
120,Anthony Davis,23-252,F-C,11/18/16,NOP,,POR,W,1,37,14,22,0.636,12,17,0.706,2,5,0.4,8,10,0.8,0,9,9
121,Marc Gasol,31-327,C,12/21/16,MEM,@,DET,W,1,37,14,17,0.824,12,14,0.857,2,3,0.667,8,11,0.727,0,5,5
122,James Harden,27-145,G,1/18/17,HOU,,MIL,W,1,37,14,25,0.56,10,14,0.714,4,11,0.364,6,6,1,0,6,6
123,James Harden,27-198,G,3/12/17,HOU,,CLE,W,1,40,13,28,0.464,9,14,0.643,4,14,0.286,8,12,0.667,3,7,10
124,James Harden,27-173,G,2/15/17,HOU,,MIA,L,1,42,10,21,0.476,6,11,0.545,4,10,0.4,14,16,0.875,3,9,12
125,James Harden,27-093,G,11/27/16,HOU,@,POR,W,1,34,11,22,0.5,6,10,0.6,5,12,0.417,11,13,0.846,1,1,2
126,Gordon Hayward,26-362,F-G,3/20/17,UTA,@,IND,L,1,37,16,24,0.667,13,18,0.722,3,6,0.5,3,4,0.75,0,3,3
127,LeBron James,32-063,F-G,3/3/17,CLE,@,ATL,W,1,39,14,27,0.519,8,17,0.471,6,10,0.6,4,8,0.5,1,12,13
128,Sean Kilpatrick,26-328,G,11/29/16,BRK,,LAC,W,1,47,14,34,0.412,10,22,0.455,4,12,0.333,6,8,0.75,0,14,14
129,Kawhi Leonard,25-199,F,1/14/17,SAS,@,PHO,L,1,32,12,20,0.6,10,15,0.667,2,5,0.4,12,14,0.857,1,3,4
130,Damian Lillard,26-116,G,11/8/16,POR,,PHO,W,1,37,12,23,0.522,9,15,0.6,3,8,0.375,11,12,0.917,2,3,5
131,Isaiah Thomas,27-339,G,1/11/17,BOS,,WAS,W,1,38,14,29,0.483,9,18,0.5,5,11,0.455,5,6,0.833,3,2,5
132,Isaiah Thomas,27-353,G,1/25/17,BOS,,HOU,W,1,38,15,27,0.556,11,17,0.647,4,10,0.4,4,4,1,3,2,5
133,Isaiah Thomas,27-335,G,1/7/17,BOS,,NOP,W,1,38,13,24,0.542,7,13,0.538,6,11,0.545,6,6,1,1,2,3
134,Isaiah Thomas,27-362,G,2/3/17,BOS,,LAL,W,1,38,13,24,0.542,8,13,0.615,5,11,0.455,7,7,1,0,2,2
135,Russell Westbrook,28-072,G,1/23/17,OKC,@,UTA,W,1,36,11,29,0.379,8,22,0.364,3,7,0.429,13,17,0.765,1,10,11
136,Russell Westbrook,28-083,G,2/3/17,OKC,,MEM,W,1,38,8,20,0.4,3,13,0.231,5,7,0.714,17,17,1,2,11,13
137,Russell Westbrook,28-095,G,2/15/17,OKC,,NYK,W,1,38,13,22,0.591,10,17,0.588,3,5,0.6,9,13,0.692,3,11,14
138,Lou Williams,30-039,G,12/5/16,LAL,,UTA,L,0,34,13,27,0.481,9,18,0.5,4,9,0.444,8,9,0.889,0,6,6
139,Carmelo Anthony,32-272,F,2/25/17,NYK,,PHI,W,1,37,15,25,0.6,13,18,0.722,2,7,0.286,5,7,0.714,1,5,6
140,Eric Bledsoe,27-066,G,2/13/17,PHO,,NOP,L,1,39,11,22,0.5,8,15,0.533,3,7,0.429,12,14,0.857,1,1,2
141,Jimmy Butler,27-059,G-F,11/12/16,CHI,,WAS,W,1,38,11,23,0.478,10,20,0.5,1,3,0.333,14,14,1,2,6,8
142,Jimmy Butler,27-188,G-F,3/21/17,CHI,@,TOR,L,1,44,11,21,0.524,8,14,0.571,3,7,0.429,12,14,0.857,2,8,10
143,DeMarcus Cousins,26-075,C-F,10/27/16,SAC,,SAS,L,1,37,10,22,0.455,7,17,0.412,3,5,0.6,14,16,0.875,3,13,16
144,DeMarcus Cousins,26-106,C-F,11/27/16,SAC,@,BRK,W,1,36,13,24,0.542,9,19,0.474,4,5,0.8,7,9,0.778,2,9,11
145,Anthony Davis,23-268,F-C,12/4/16,NOP,@,OKC,L,1,43,14,32,0.438,14,31,0.452,0,1,0,9,11,0.818,5,10,15
146,DeMar DeRozan,27-094,G,11/9/16,TOR,@,OKC,W,1,39,13,22,0.591,13,20,0.65,0,2,0,11,15,0.733,0,4,4
147,DeMar DeRozan,27-204,G,2/27/17,TOR,@,NYK,W,1,37,13,25,0.52,12,22,0.545,1,3,0.333,10,13,0.769,3,5,8
148,Kevin Durant,28-031,F-G,10/30/16,GSW,@,PHO,W,1,38,10,16,0.625,8,12,0.667,2,4,0.5,15,16,0.938,0,4,4
149,Paul George,26-222,F,12/10/16,IND,,POR,W,1,36,13,27,0.481,8,17,0.471,5,10,0.5,6,7,0.857,1,4,5
150,James Harden,27-101,G,12/5/16,HOU,,BOS,W,1,35,8,14,0.571,5,9,0.556,3,5,0.6,18,18,1,1,7,8
151,Zach LaVine,21-244,G,11/9/16,MIN,@,ORL,W,1,36,14,22,0.636,7,13,0.538,7,9,0.778,2,3,0.667,0,4,4
152,Damian Lillard,26-106,G,10/29/16,POR,@,DEN,W,1,41,15,28,0.536,13,20,0.65,2,8,0.25,5,5,1,1,4,5
153,C.J. McCollum,25-048,G,11/6/16,POR,@,MEM,W,1,39,13,23,0.565,7,11,0.636,6,12,0.5,5,6,0.833,0,4,4
154,Paul Millsap,31-354,F,1/29/17,ATL,,NYK,W,1,60,13,29,0.448,10,21,0.476,3,8,0.375,8,10,0.8,8,11,19
155,Marcus Morris,27-179,F,2/28/17,DET,,POR,W,1,42,13,23,0.565,10,16,0.625,3,7,0.429,8,9,0.889,3,5,8
156,Isaiah Thomas,27-300,G,12/3/16,BOS,@,PHI,W,1,33,11,19,0.579,9,16,0.563,2,3,0.667,13,15,0.867,1,3,4
157,Isaiah Thomas,27-356,G,1/28/17,BOS,@,MIL,W,1,41,11,21,0.524,5,10,0.5,6,11,0.545,9,9,1,0,3,3
158,Isaiah Thomas,27-281,G,11/14/16,BOS,@,NOP,L,1,36,13,29,0.448,10,19,0.526,3,10,0.3,8,10,0.8,0,3,3
159,Karl-Anthony Towns,21-074,F-C,1/28/17,MIN,,BRK,W,1,36,15,26,0.577,13,23,0.565,2,3,0.667,5,8,0.625,4,9,13
160,Karl-Anthony Towns,21-065,F-C,1/19/17,MIN,@,LAC,W,1,41,17,24,0.708,16,22,0.727,1,2,0.5,2,2,1,5,7,12
161,Karl-Anthony Towns,21-102,F-C,2/25/17,MIN,@,HOU,L,1,37,16,24,0.667,15,22,0.682,1,2,0.5,4,4,1,9,13,22
162,Kemba Walker,26-237,G,12/31/16,CHO,,CLE,L,1,35,13,22,0.591,10,14,0.714,3,8,0.375,8,8,1,0,5,5
163,Russell Westbrook,28-029,G,12/11/16,OKC,,BOS,W,1,36,14,26,0.538,12,21,0.571,2,5,0.4,7,12,0.583,3,9,12
164,Devin Booker,20-132,G,3/11/17,PHO,@,DAL,W,1,35,12,20,0.6,10,15,0.667,2,5,0.4,10,10,1,1,4,5
165,Wilson Chandler,29-300,F,3/6/17,DEN,,SAC,W,1,43,13,23,0.565,8,13,0.615,5,10,0.5,5,7,0.714,2,9,11
166,Ian Clark,26-004,G,3/11/17,GSW,@,SAS,L,0,34,15,21,0.714,12,18,0.667,3,3,1,3,6,0.5,1,4,5
167,DeMarcus Cousins,26-107,C-F,11/28/16,SAC,@,WAS,L,1,40,16,34,0.471,15,28,0.536,1,6,0.167,3,10,0.3,4,16,20
168,DeMarcus Cousins,26-102,C-F,11/23/16,SAC,,OKC,W,1,35,14,28,0.5,11,23,0.478,3,5,0.6,5,6,0.833,2,11,13
169,DeMarcus Cousins,26-113,C-F,12/4/16,SAC,@,NYK,L,1,43,9,31,0.29,5,21,0.238,4,10,0.4,14,16,0.875,5,8,13
170,Anthony Davis,23-309,F-C,1/14/17,NOP,@,CHI,L,1,39,14,23,0.609,14,23,0.609,0,0,,8,10,0.8,3,11,14
171,Anthony Davis,23-302,F-C,1/7/17,NOP,@,BOS,L,1,38,14,21,0.667,13,20,0.65,1,1,1,7,9,0.778,3,13,16
172,Anthony Davis,23-324,F-C,1/29/17,NOP,,WAS,L,1,40,15,25,0.6,14,23,0.609,1,2,0.5,5,6,0.833,2,15,17
173,Anthony Davis,23-261,F-C,11/27/16,NOP,@,DAL,L,1,40,12,22,0.545,12,21,0.571,0,1,0,12,14,0.857,3,10,13
174,DeMar DeRozan,27-154,G,1/8/17,TOR,,HOU,L,1,39,13,21,0.619,13,21,0.619,0,0,,10,10,1,0,6,6
175,DeMar DeRozan,27-153,G,1/7/17,TOR,@,CHI,L,1,43,10,23,0.435,10,22,0.455,0,1,0,16,17,0.941,1,7,8
176,DeMar DeRozan,27-163,G,1/17/17,TOR,@,BRK,W,1,37,13,28,0.464,13,28,0.464,0,0,,10,10,1,2,9,11
177,Kevin Durant,28-087,F-G,12/25/16,GSW,@,CLE,L,1,38,11,23,0.478,9,15,0.6,2,8,0.25,12,12,1,0,15,15
178,Marc Gasol,31-314,C,12/8/16,MEM,,POR,W,1,34,13,24,0.542,9,18,0.5,4,6,0.667,6,9,0.667,2,7,9
