,PLAYER,POS,DATE,MP,PTS,GMSC
14339,Nikola Jokic,C,10/30/15,18,10,7.8
14536,Nikola Jokic,C,1/3/16,22,9,9.6
15359,Nikola Jokic,C,12/15/15,21,6,7.7
16277,Nikola Jokic,C,2/7/16,19,13,10.1
16470,Nikola Jokic,C,12/11/15,25,19,16.8
16890,Nikola Jokic,C,1/6/16,26,4,3.3
16995,Nikola Jokic,C,12/30/15,18,10,10.1
18009,Nikola Jokic,C,1/17/16,24,18,18
19168,Nikola Jokic,C,4/8/16,32,8,12.3
19542,Nikola Jokic,C,12/8/15,17,4,2.5
19556,Nikola Jokic,C,11/30/15,25,8,7.5
19890,Nikola Jokic,C,1/10/16,23,4,9.7
20473,Nikola Jokic,C,11/18/15,32,23,26.4
20799,Nikola Jokic,C,12/2/15,10,7,5.2
21303,Nikola Jokic,C,1/21/16,14,9,10.9
22395,Nikola Jokic,C,2/3/16,29,8,8.3
22488,Nikola Jokic,C,12/29/15,22,10,4.4
22752,Nikola Jokic,C,11/11/15,14,8,9.8
22968,Nikola Jokic,C,11/27/15,12,6,0.8
23120,Nikola Jokic,C,12/26/15,26,22,17
23149,Nikola Jokic,C,12/18/15,21,7,5.5
24685,Nikola Jokic,C,4/10/16,36,19,22.5
24943,Nikola Jokic,C,12/3/15,14,8,6.9
25148,Nikola Jokic,C,11/5/15,18,5,2.8
25247,Nikola Jokic,C,1/15/16,18,9,10.7
25337,Nikola Jokic,C,1/8/16,19,9,9.4
,Nikola Jokic Var,,,,34.98164557,
1395,Nikola Mirotic,PF,3/21/16,21,6,0.7
2169,Nikola Mirotic,PF,3/31/16,38,28,22.4
2564,Nikola Mirotic,PF,3/5/16,16,7,4.4
2614,Nikola Mirotic,PF,1/20/16,14,0,-1.7
4054,Nikola Mirotic,PF,3/16/16,24,7,3.6
4302,Nikola Mirotic,PF,3/17/16,20,9,5.5
4887,Nikola Mirotic,PF,11/5/15,16,2,-1.2
5114,Nikola Mirotic,PF,3/7/16,20,14,11.8
6405,Nikola Mirotic,PF,4/13/16,39,32,32.9
8646,Nikola Mirotic,PF,1/22/16,26,5,1.7
8678,Nikola Mirotic,PF,1/9/16,38,24,19.2
8767,Nikola Mirotic,PF,11/20/15,36,18,15
8932,Nikola Mirotic,PF,3/26/16,20,4,-0.7
9086,Nikola Mirotic,PF,1/11/16,29,7,8.7
10126,Nikola Mirotic,PF,3/28/16,17,5,3.1
11182,Nikola Mirotic,PF,12/25/15,16,6,7
11458,Nikola Mirotic,PF,4/2/16,24,6,1.4
12148,Nikola Mirotic,PF,3/14/16,32,17,11.4
12606,Nikola Mirotic,PF,4/7/16,27,4,1.2
12637,Nikola Mirotic,PF,3/24/16,24,8,5
13205,Nikola Mirotic,PF,4/9/16,17,13,9
13240,Nikola Mirotic,PF,3/29/16,37,28,20
13405,Nikola Mirotic,PF,1/14/16,24,7,-5.3
13439,Nikola Mirotic,PF,1/7/16,27,11,8
13769,Nikola Mirotic,PF,4/11/16,37,20,11.6
14644,Nikola Mirotic,PF,12/7/15,28,13,12.1
15190,Nikola Mirotic,PF,1/12/16,31,17,11.1
15399,Nikola Mirotic,PF,12/10/15,14,5,4.8
15498,Nikola Mirotic,PF,11/18/15,21,10,7.4
15608,Nikola Mirotic,PF,10/30/15,39,22,14.4
15667,Nikola Mirotic,PF,4/3/16,35,19,12.6
16173,Nikola Mirotic,PF,3/23/16,34,35,29.5
16348,Nikola Mirotic,PF,1/23/16,25,17,15.4
16374,Nikola Mirotic,PF,1/18/16,21,10,6.2
16451,Nikola Mirotic,PF,12/12/15,18,10,11.4
16746,Nikola Mirotic,PF,3/10/16,28,8,7.6
17018,Nikola Mirotic,PF,12/30/15,20,0,0.2
17260,Nikola Mirotic,PF,11/7/15,17,4,-2.3
17641,Nikola Mirotic,PF,1/15/16,15,2,-0.3
17676,Nikola Mirotic,PF,1/5/16,29,14,11.1
17706,Nikola Mirotic,PF,12/26/15,40,23,22.5
18284,Nikola Mirotic,PF,4/5/16,29,20,19.5
18592,Nikola Mirotic,PF,12/9/15,22,10,6.8
18897,Nikola Mirotic,PF,3/11/16,19,6,4.4
19373,Nikola Mirotic,PF,1/1/16,31,17,21.6
19578,Nikola Mirotic,PF,11/27/15,29,25,19.4
19698,Nikola Mirotic,PF,11/13/15,23,3,4.3
19736,Nikola Mirotic,PF,11/1/15,28,16,9.1
20059,Nikola Mirotic,PF,10/27/15,25,19,12.9
20249,Nikola Mirotic,PF,12/28/15,17,2,-0.8
20520,Nikola Mirotic,PF,11/9/15,28,20,14.8
20801,Nikola Mirotic,PF,12/2/15,5,3,4.3
20997,Nikola Mirotic,PF,12/18/15,24,5,1.5
21136,Nikola Mirotic,PF,11/16/15,17,6,2.3
21401,Nikola Mirotic,PF,12/21/15,22,8,8.2
21978,Nikola Mirotic,PF,10/28/15,30,18,15.9
22139,Nikola Mirotic,PF,1/3/16,29,17,13.5
22230,Nikola Mirotic,PF,12/5/15,27,7,2.8
22336,Nikola Mirotic,PF,3/19/16,33,15,12.7
22687,Nikola Mirotic,PF,12/14/15,19,17,9.5
22926,Nikola Mirotic,PF,12/19/15,25,2,-5.9
22944,Nikola Mirotic,PF,12/16/15,15,3,5.6
23664,Nikola Mirotic,PF,11/3/15,24,5,-1
24380,Nikola Mirotic,PF,1/25/16,22,15,14
25439,Nikola Mirotic,PF,11/30/15,24,8,3.7
,Nikola Mirotic Var,,,,67.03221154,
4485,Nikola Pekovic,C,1/27/16,12,1,-0.5
7445,Nikola Pekovic,C,1/15/16,18,10,9.9
8593,Nikola Pekovic,C,1/31/16,6,0,0.2
10470,Nikola Pekovic,C,1/13/16,16,8,4.9
11826,Nikola Pekovic,C,1/17/16,7,4,2.2
12858,Nikola Pekovic,C,1/25/16,13,4,-0.6
16892,Nikola Pekovic,C,1/6/16,16,12,7.8
18485,Nikola Pekovic,C,1/20/16,14,4,0.5
19349,Nikola Pekovic,C,1/10/16,15,4,-1
22474,Nikola Pekovic,C,1/8/16,15,2,-0.9
24352,Nikola Pekovic,C,1/29/16,11,0,0.3
24413,Nikola Pekovic,C,1/23/16,13,5,2.2
,Nikola Pekovic Var,,,,14.45454545,
536,Nikola Vucevic,C,2/25/16,32,17,9
2320,Nikola Vucevic,C,3/4/16,30,15,8.4
2574,Nikola Vucevic,C,3/2/16,33,24,16.9
3369,Nikola Vucevic,C,3/1/16,24,18,12.5
3394,Nikola Vucevic,C,2/28/16,28,28,18.1
4959,Nikola Vucevic,C,4/10/16,30,19,11.3
5366,Nikola Vucevic,C,4/13/16,20,17,11.8
5552,Nikola Vucevic,C,2/3/16,36,16,9.6
7672,Nikola Vucevic,C,3/31/16,25,24,20.1
7905,Nikola Vucevic,C,2/26/16,28,18,12.1
8149,Nikola Vucevic,C,11/21/15,25,11,10.7
8278,Nikola Vucevic,C,4/6/16,27,15,14.1
8300,Nikola Vucevic,C,4/1/16,22,22,20.8
8515,Nikola Vucevic,C,2/23/16,37,35,31.5
8845,Nikola Vucevic,C,4/8/16,35,29,23.3
10039,Nikola Vucevic,C,11/4/15,17,6,5.3
10569,Nikola Vucevic,C,12/23/15,35,21,17
10749,Nikola Vucevic,C,4/3/16,32,25,19.7
11200,Nikola Vucevic,C,12/9/15,38,21,16.7
11693,Nikola Vucevic,C,1/29/16,30,14,12.2
12000,Nikola Vucevic,C,11/3/15,34,22,17.4
12551,Nikola Vucevic,C,10/30/15,45,26,24.2
13307,Nikola Vucevic,C,2/5/16,29,13,7.3
14117,Nikola Vucevic,C,12/28/15,37,28,23
14259,Nikola Vucevic,C,11/18/15,16,8,5.9
14453,Nikola Vucevic,C,1/31/16,35,16,16.2
14742,Nikola Vucevic,C,11/14/15,36,19,13.4
14994,Nikola Vucevic,C,2/21/16,35,19,12
15012,Nikola Vucevic,C,2/10/16,37,20,15
15034,Nikola Vucevic,C,2/8/16,43,28,28.2
15247,Nikola Vucevic,C,1/1/16,32,14,8.8
15772,Nikola Vucevic,C,2/7/16,35,22,12.8
16019,Nikola Vucevic,C,12/1/15,37,18,13
16292,Nikola Vucevic,C,2/1/16,31,20,16.8
16642,Nikola Vucevic,C,10/28/15,28,10,5.6
17116,Nikola Vucevic,C,11/29/15,32,18,9.9
17458,Nikola Vucevic,C,2/19/16,35,21,14.7
17726,Nikola Vucevic,C,12/20/15,34,20,17.6
17747,Nikola Vucevic,C,12/18/15,35,25,20.2
17899,Nikola Vucevic,C,11/11/15,26,18,13.4
18993,Nikola Vucevic,C,1/9/16,35,23,19.9
19397,Nikola Vucevic,C,12/30/15,35,20,14.2
19531,Nikola Vucevic,C,12/8/15,34,18,19.4
19593,Nikola Vucevic,C,11/27/15,21,9,7.2
19651,Nikola Vucevic,C,11/23/15,26,12,9.3
19729,Nikola Vucevic,C,11/1/15,35,15,14.3
19911,Nikola Vucevic,C,1/6/16,33,17,11.1
19952,Nikola Vucevic,C,12/21/15,36,26,21.7
20125,Nikola Vucevic,C,1/18/16,27,10,9.1
20185,Nikola Vucevic,C,1/4/16,24,16,11.7
20284,Nikola Vucevic,C,12/16/15,27,14,11.4
20373,Nikola Vucevic,C,12/5/15,30,10,9.3
20734,Nikola Vucevic,C,12/14/15,28,18,16
20907,Nikola Vucevic,C,1/26/16,37,16,10.5
21022,Nikola Vucevic,C,12/11/15,22,14,11.4
21273,Nikola Vucevic,C,1/22/16,39,15,13.7
22065,Nikola Vucevic,C,1/20/16,37,15,11.6
22974,Nikola Vucevic,C,11/25/15,32,22,19.7
23417,Nikola Vucevic,C,1/14/16,39,17,11.2
23782,Nikola Vucevic,C,12/26/15,36,22,19.9
24500,Nikola Vucevic,C,1/2/16,13,4,0.3
24593,Nikola Vucevic,C,12/3/15,32,16,13.4
24745,Nikola Vucevic,C,1/8/16,36,20,16
25159,Nikola Vucevic,C,1/25/16,39,16,10
25563,Nikola Vucevic,C,11/13/15,29,16,15.3
,Nikola Vucevic Var,,,,33.20528846,
197,Noah Vonleh,PF,3/11/16,17,3,-1
271,Noah Vonleh,PF,4/3/16,3,2,2
415,Noah Vonleh,PF,2/19/16,22,9,6
679,Noah Vonleh,PF,4/5/16,8,2,2.4
966,Noah Vonleh,PF,3/28/16,24,5,2.9
1099,Noah Vonleh,PF,3/2/16,20,6,1.5
1143,Noah Vonleh,PF,3/18/16,12,6,3.1
1376,Noah Vonleh,PF,3/26/16,9,2,2.2
1568,Noah Vonleh,PF,2/25/16,13,2,-0.9
2108,Noah Vonleh,PF,4/13/16,25,6,3.3
2264,Noah Vonleh,PF,3/14/16,17,4,3.9
2533,Noah Vonleh,PF,4/9/16,9,2,3
2721,Noah Vonleh,PF,3/12/16,21,4,-0.7
2794,Noah Vonleh,PF,3/24/16,10,4,3.6
3156,Noah Vonleh,PF,1/10/16,14,0,-0.8
3302,Noah Vonleh,PF,4/6/16,4,0,0.6
3440,Noah Vonleh,PF,1/26/16,23,10,10.6
3493,Noah Vonleh,PF,1/8/16,17,0,0.9
3620,Noah Vonleh,PF,3/23/16,3,0,0.3
3657,Noah Vonleh,PF,3/20/16,14,0,0.2
3993,Noah Vonleh,PF,3/31/16,9,7,8.3
4080,Noah Vonleh,PF,3/8/16,11,2,-1.7
4831,Noah Vonleh,PF,2/23/16,13,4,1.8
5619,Noah Vonleh,PF,1/20/16,15,7,6.9
5966,Noah Vonleh,PF,12/14/15,17,2,2.4
6667,Noah Vonleh,PF,2/27/16,13,5,2.8
6880,Noah Vonleh,PF,12/11/15,17,2,3.9
7041,Noah Vonleh,PF,11/20/15,18,4,2.1
7061,Noah Vonleh,PF,11/18/15,13,4,2
7313,Noah Vonleh,PF,3/1/16,15,4,0.4
7644,Noah Vonleh,PF,4/2/16,11,1,1.4
7997,Noah Vonleh,PF,1/23/16,25,11,11.7
8097,Noah Vonleh,PF,12/27/15,14,2,1.9
8588,Noah Vonleh,PF,1/31/16,16,2,3.5
8669,Noah Vonleh,PF,1/18/16,17,2,1.9
8993,Noah Vonleh,PF,2/28/16,18,5,-1.3
9530,Noah Vonleh,PF,3/6/16,13,2,2.6
9552,Noah Vonleh,PF,3/4/16,11,3,2
9888,Noah Vonleh,PF,12/16/15,26,2,3.1
10356,Noah Vonleh,PF,1/29/16,19,6,4.5
10449,Noah Vonleh,PF,1/16/16,21,9,6.9
11385,Noah Vonleh,PF,11/9/15,13,0,-1.5
11404,Noah Vonleh,PF,10/28/15,14,2,-2.2
12246,Noah Vonleh,PF,2/2/16,16,0,-1
12327,Noah Vonleh,PF,1/6/16,16,7,4.6
12440,Noah Vonleh,PF,11/30/15,13,2,-1.7
12474,Noah Vonleh,PF,11/15/15,24,9,6.1
12918,Noah Vonleh,PF,1/15/16,16,6,3.6
13146,Noah Vonleh,PF,11/11/15,7,2,1.2
13625,Noah Vonleh,PF,12/5/15,15,4,2.6
13647,Noah Vonleh,PF,11/22/15,17,0,-0.8
13735,Noah Vonleh,PF,10/30/15,21,2,4.2
13844,Noah Vonleh,PF,3/17/16,11,8,5.3
14309,Noah Vonleh,PF,11/2/15,19,5,0.6
14328,Noah Vonleh,PF,10/31/15,6,0,1.6
14543,Noah Vonleh,PF,1/3/16,26,5,4.1
15319,Noah Vonleh,PF,12/23/15,21,6,7.9
16013,Noah Vonleh,PF,12/3/15,18,6,5.7
17006,Noah Vonleh,PF,12/30/15,16,0,3.2
17181,Noah Vonleh,PF,11/28/15,20,4,5.6
17200,Noah Vonleh,PF,11/24/15,12,7,4.5
17763,Noah Vonleh,PF,12/18/15,12,4,2.3
17821,Noah Vonleh,PF,12/1/15,6,0,-0.8
18628,Noah Vonleh,PF,12/8/15,11,2,2.5
18667,Noah Vonleh,PF,11/16/15,22,3,3.3
19071,Noah Vonleh,PF,12/7/15,14,6,7.1
19139,Noah Vonleh,PF,11/8/15,10,4,3.3
20333,Noah Vonleh,PF,12/12/15,17,7,11.1
21263,Noah Vonleh,PF,2/21/16,16,5,2.7
22125,Noah Vonleh,PF,1/4/16,13,2,2.2
22575,Noah Vonleh,PF,12/26/15,21,2,6.4
22652,Noah Vonleh,PF,12/21/15,13,5,4.2
23623,Noah Vonleh,PF,11/13/15,7,0,-0.8
23755,Noah Vonleh,PF,1/13/16,19,4,2.9
24103,Noah Vonleh,PF,12/20/15,11,2,-1.3
24676,Noah Vonleh,PF,11/5/15,11,2,-0.5
25279,Noah Vonleh,PF,11/4/15,13,1,-3.7
25529,Noah Vonleh,PF,12/31/15,19,6,7.9
,Noah Vonleh Var,,,,7.197635698,
3364,Norman Powell,SG,3/6/16,3,2,1.7
5412,Norman Powell,SG,3/28/16,28,18,13.9
5544,Norman Powell,SG,2/24/16,5,0,1.3
6535,Norman Powell,SG,3/25/16,39,13,6
6583,Norman Powell,SG,3/20/16,23,3,-0.7
8372,Norman Powell,SG,3/18/16,22,10,5.9
8417,Norman Powell,SG,3/8/16,21,5,5
8823,Norman Powell,SG,11/15/15,4,0,-2
9545,Norman Powell,SG,3/4/16,22,10,8.8
10282,Norman Powell,SG,2/10/16,12,8,5.2
10710,Norman Powell,SG,4/13/16,37,30,27.2
11021,Norman Powell,SG,2/8/16,16,1,-2.1
11518,Norman Powell,SG,3/23/16,12,2,2.3
11669,Norman Powell,SG,2/4/16,13,0,-0.5
11758,Norman Powell,SG,1/26/16,2,0,-0.4
12123,Norman Powell,SG,3/15/16,35,17,12.4
12162,Norman Powell,SG,3/14/16,4,0,-1.5
12523,Norman Powell,SG,11/3/15,3,2,0.9
12833,Norman Powell,SG,2/1/16,13,2,1.5
13124,Norman Powell,SG,11/13/15,11,0,-0.3
13749,Norman Powell,SG,4/12/16,38,18,15.5
14404,Norman Powell,SG,3/17/16,20,6,2.7
15870,Norman Powell,SG,1/9/16,2,2,1.7
16704,Norman Powell,SG,3/30/16,25,10,9.8
16764,Norman Powell,SG,3/10/16,17,2,4.3
16820,Norman Powell,SG,2/22/16,2,0,-0.7
17976,Norman Powell,SG,4/5/16,23,4,3.1
18231,Norman Powell,PG,11/1/15,2,0,-0.7
18269,Norman Powell,SG,4/7/16,31,10,7.1
18309,Norman Powell,SG,3/26/16,34,15,9.6
18397,Norman Powell,SG,2/2/16,15,0,-0.9
18563,Norman Powell,SG,12/14/15,7,5,4.5
18918,Norman Powell,SG,2/28/16,6,6,6.3
19308,Norman Powell,SG,1/28/16,4,0,-0.4
20035,Norman Powell,SG,12/7/15,5,0,-1.5
20583,Norman Powell,SG,4/1/16,31,14,16.2
21335,Norman Powell,SG,1/18/16,1,0,-0.7
21493,Norman Powell,SG,11/10/15,2,0,-0.7
21947,Norman Powell,SG,11/11/15,25,8,4.5
22107,Norman Powell,SG,1/6/16,1,2,1
22331,Norman Powell,SG,4/10/16,21,2,-0.2
23117,Norman Powell,SG,1/4/16,3,0,0.7
23181,Norman Powell,SG,12/17/15,3,0,0.3
23285,Norman Powell,SG,4/8/16,41,27,21.1
23433,Norman Powell,SG,1/14/16,3,0,0.3
24143,Norman Powell,SG,12/13/15,2,2,4.4
24282,Norman Powell,SG,4/2/16,32,17,11.1
24822,Norman Powell,SG,11/8/15,5,0,-1.4
25130,Norman Powell,SG,11/18/15,3,0,-1.1
,Norman Powell Var,,,,54.91666667,
6,Norris Cole,PG,2/10/16,24,11,9
810,Norris Cole,PG,3/2/16,36,21,20.9
831,Norris Cole,PG,2/25/16,35,21,16.2
1280,Norris Cole,PG,3/7/16,40,23,20
1835,Norris Cole,PG,2/11/16,27,15,12.2
1985,Norris Cole,PG,2/27/16,29,7,7.5
2026,Norris Cole,PG,2/23/16,18,9,5.8
2367,Norris Cole,PG,1/25/16,35,10,3.3
2429,Norris Cole,PG,1/13/16,26,18,11
3082,Norris Cole,PG,1/28/16,38,17,13.2
3553,Norris Cole,PG,12/2/15,24,5,-2.8
4179,Norris Cole,PG,12/18/15,24,4,-0.5
5872,Norris Cole,PG,2/8/16,32,10,8.2
5967,Norris Cole,PG,12/14/15,15,6,4.2
5990,Norris Cole,PG,12/11/15,21,5,1.4
6286,Norris Cole,PG,12/7/15,29,8,-1.1
6724,Norris Cole,PG,2/4/16,13,2,-3.4
7512,Norris Cole,PG,12/26/15,16,5,1.1
8739,Norris Cole,PG,12/4/15,16,4,0.9
8959,Norris Cole,PG,3/3/16,29,11,6.5
9134,Norris Cole,PG,12/31/15,34,15,10.5
10292,Norris Cole,PG,2/6/16,34,26,16
10312,Norris Cole,PG,2/3/16,34,14,10.2
10936,Norris Cole,PG,2/21/16,21,5,0.4
11787,Norris Cole,PG,1/21/16,31,12,11
11855,Norris Cole,PG,1/2/16,38,16,11.8
12305,Norris Cole,PG,1/8/16,23,4,-0.1
12765,Norris Cole,PG,2/19/16,27,12,6.7
13340,Norris Cole,PG,1/30/16,30,12,4.5
13563,Norris Cole,PG,12/20/15,20,10,6.9
14003,Norris Cole,PG,1/19/16,23,7,4.1
14047,Norris Cole,PG,1/10/16,15,6,1.1
14069,Norris Cole,PG,1/6/16,28,4,0.6
14121,Norris Cole,PG,12/28/15,30,17,11.9
14500,Norris Cole,PG,1/12/16,32,11,7.1
15055,Norris Cole,PG,2/1/16,38,23,20.4
15153,Norris Cole,PG,1/23/16,27,11,7.8
15317,Norris Cole,PG,12/23/15,19,6,2.4
16452,Norris Cole,PG,12/12/15,21,10,10.7
16873,Norris Cole,PG,1/15/16,16,2,4.4
17806,Norris Cole,PG,12/1/15,23,11,3
18076,Norris Cole,PG,12/16/15,18,7,3.1
18501,Norris Cole,PG,12/25/15,31,8,5.4
22051,Norris Cole,PG,3/5/16,29,6,3.4
23087,Norris Cole,PG,1/18/16,30,10,4.7
,Norris Cole Var,,,,35.74545455,
1419,O.J. Mayo,SG,3/6/16,24,0,-2.1
2919,O.J. Mayo,SG,3/4/16,32,12,7.3
2987,O.J. Mayo,SG,2/29/16,13,0,-3.9
3003,O.J. Mayo,SG,2/25/16,20,3,0.1
3761,O.J. Mayo,SG,2/11/16,20,2,-2.3
5118,O.J. Mayo,SG,3/7/16,26,2,-1.9
6182,O.J. Mayo,SG,2/22/16,24,12,10.4
6260,O.J. Mayo,SG,12/18/15,22,12,6.4
6977,O.J. Mayo,SG,11/25/15,29,12,5.4
9033,O.J. Mayo,SG,2/9/16,18,0,0.5
9757,O.J. Mayo,SG,1/13/16,12,2,1
10508,O.J. Mayo,SG,12/29/15,26,14,7.6
10922,O.J. Mayo,SG,3/2/16,34,3,0.5
10953,O.J. Mayo,SG,2/20/16,38,9,12.1
11901,O.J. Mayo,SG,12/12/15,29,18,11.2
13416,O.J. Mayo,SG,1/8/16,35,11,11.8
13901,O.J. Mayo,SG,2/27/16,25,9,4.7
14116,O.J. Mayo,SG,1/2/16,3,0,-2.2
14620,O.J. Mayo,SG,12/20/15,41,12,10
15198,O.J. Mayo,SG,1/12/16,26,5,3.2
17034,O.J. Mayo,SG,12/28/15,31,13,9.8
17122,O.J. Mayo,SG,11/29/15,44,12,8.6
17499,O.J. Mayo,SG,2/19/16,29,6,2.9
17682,O.J. Mayo,SG,1/5/16,20,6,2.5
17698,O.J. Mayo,SG,12/31/15,23,7,6
18582,O.J. Mayo,SG,12/9/15,36,14,10.1
19064,O.J. Mayo,SG,12/7/15,36,15,9.6
19558,O.J. Mayo,SG,11/30/15,31,9,4.9
19598,O.J. Mayo,SG,11/27/15,25,5,2
20007,O.J. Mayo,SG,12/15/15,27,9,1.2
20714,O.J. Mayo,SG,12/16/15,38,17,13
21813,O.J. Mayo,SG,12/23/15,22,4,-1
23804,O.J. Mayo,SG,12/26/15,22,6,3.2
23929,O.J. Mayo,SG,11/19/15,14,3,4.2
24225,O.J. Mayo,SG,11/21/15,22,10,4.5
24477,O.J. Mayo,SG,1/4/16,24,0,-3.5
24578,O.J. Mayo,SG,12/4/15,34,13,6.8
24793,O.J. Mayo,SG,12/11/15,35,9,5.9
24986,O.J. Mayo,SG,11/23/15,19,6,7.4
25413,O.J. Mayo,SG,12/5/15,35,17,14.6
25745,O.J. Mayo,SG,12/2/15,24,2,-1.3
,O.J. Mayo Var,,,,28.39512195,
11,Omer Asik,C,2/10/16,17,4,4.7
719,Omer Asik,C,3/16/16,21,5,6.2
1144,Omer Asik,C,3/18/16,13,2,1.5
1293,Omer Asik,C,3/7/16,14,0,-3.3
1849,Omer Asik,C,2/11/16,18,2,2.1
2376,Omer Asik,C,1/25/16,6,3,3.3
2431,Omer Asik,C,1/13/16,29,8,6.4
3084,Omer Asik,C,1/28/16,27,8,10.5
3554,Omer Asik,C,12/2/15,22,6,2.5
4171,Omer Asik,C,12/18/15,21,4,5.2
4940,Omer Asik,C,4/13/16,32,24,21.9
5261,Omer Asik,C,11/27/15,16,3,4.9
5519,Omer Asik,C,3/12/16,6,0,-0.8
5665,Omer Asik,C,11/25/15,10,0,-1.3
5877,Omer Asik,C,2/8/16,17,4,5.5
5969,Omer Asik,C,12/14/15,9,2,2
5993,Omer Asik,C,12/11/15,9,0,-0.7
6085,Omer Asik,C,10/31/15,10,0,0.9
6289,Omer Asik,C,12/7/15,10,3,3.9
6330,Omer Asik,C,11/22/15,15,2,2.2
6376,Omer Asik,C,11/10/15,16,2,2.4
6723,Omer Asik,C,2/4/16,15,0,2
7187,Omer Asik,C,3/22/16,21,8,7.5
7505,Omer Asik,C,12/26/15,23,10,10.8
7605,Omer Asik,C,4/9/16,14,0,-1.6
7719,Omer Asik,C,3/20/16,30,15,11.7
7812,Omer Asik,C,3/9/16,6,0,1.9
8734,Omer Asik,C,12/4/15,25,6,7
8838,Omer Asik,C,11/11/15,21,4,0.7
9142,Omer Asik,C,12/31/15,21,4,4.8
9385,Omer Asik,C,4/6/16,14,2,-1.6
10296,Omer Asik,C,2/6/16,29,6,10.2
10317,Omer Asik,C,2/3/16,20,6,7.1
10806,Omer Asik,C,3/31/16,15,0,1.6
10943,Omer Asik,C,2/21/16,7,5,3.2
11791,Omer Asik,C,1/21/16,20,12,14.4
11869,Omer Asik,C,1/2/16,20,1,-2.2
12308,Omer Asik,C,1/8/16,16,1,0.3
12761,Omer Asik,C,2/19/16,19,9,11.8
13116,Omer Asik,C,11/13/15,24,2,1
13335,Omer Asik,C,1/30/16,25,6,8.1
13565,Omer Asik,C,12/20/15,17,5,4.5
13771,Omer Asik,C,4/11/16,24,14,15.2
13868,Omer Asik,C,3/11/16,13,0,0.5
14005,Omer Asik,C,1/19/16,11,2,1.8
14038,Omer Asik,C,1/10/16,26,8,8.5
14063,Omer Asik,C,1/6/16,19,6,5.5
14134,Omer Asik,C,12/28/15,15,2,0.3
14499,Omer Asik,C,1/12/16,18,1,5.9
14739,Omer Asik,C,11/15/15,13,0,-0.1
14911,Omer Asik,C,3/28/16,8,2,-0.1
15062,Omer Asik,C,2/1/16,20,6,4.7
15155,Omer Asik,C,1/23/16,19,4,4.2
15318,Omer Asik,C,12/23/15,25,4,4.7
15692,Omer Asik,C,3/24/16,24,2,2.3
16459,Omer Asik,C,12/12/15,13,6,7.5
16692,Omer Asik,C,4/8/16,18,1,1.7
16877,Omer Asik,C,1/15/16,14,1,0.5
17218,Omer Asik,C,11/20/15,12,1,1.3
17286,Omer Asik,C,4/3/16,4,0,-2.8
17824,Omer Asik,C,12/1/15,5,0,-0.8
18080,Omer Asik,C,12/16/15,20,2,2.1
18314,Omer Asik,C,3/26/16,24,7,7.3
18504,Omer Asik,C,12/25/15,18,2,2.3
21221,Omer Asik,C,3/30/16,25,2,2.2
22053,Omer Asik,C,3/5/16,25,4,6.2
22259,Omer Asik,C,11/28/15,8,0,-2.5
23090,Omer Asik,C,1/18/16,20,8,8.6
,Omer Asik Var,,,,18.01294996,
237,Omri Casspi,SF,2/29/16,25,16,13.5
590,Omri Casspi,SF,3/25/16,30,7,6
609,Omri Casspi,SF,3/3/16,20,9,8.2
625,Omri Casspi,SF,2/23/16,23,14,12.9
714,Omri Casspi,SF,3/16/16,27,12,7.7
877,Omri Casspi,SF,3/23/16,26,12,7.3
892,Omri Casspi,SF,12/15/15,38,19,18.3
954,Omri Casspi,SF,3/28/16,30,18,11.9
1007,Omri Casspi,SF,12/6/15,28,11,5.2
1119,Omri Casspi,SF,11/7/15,29,10,6.7
1163,Omri Casspi,SF,2/10/16,20,2,2.8
1170,Omri Casspi,SF,12/28/15,35,36,24.7
1263,Omri Casspi,SF,3/15/16,20,11,10
1284,Omri Casspi,SF,3/7/16,18,15,15.2
1324,Omri Casspi,SF,11/28/15,29,11,7.6
1390,Omri Casspi,SF,3/21/16,22,7,9.1
1514,Omri Casspi,SF,11/6/15,33,22,18.5
1539,Omri Casspi,SF,2/26/16,25,6,3.4
1603,Omri Casspi,SF,2/24/16,8,3,-0.8
1644,Omri Casspi,SF,1/16/16,30,17,14.3
1697,Omri Casspi,SF,3/30/16,26,15,12.8
1762,Omri Casspi,SF,3/11/16,28,10,2.9
1779,Omri Casspi,SF,3/9/16,23,13,6.2
1855,Omri Casspi,SF,2/8/16,29,16,13.7
1950,Omri Casspi,SF,12/21/15,26,9,5.3
2193,Omri Casspi,SF,3/27/16,23,10,10.5
2286,Omri Casspi,SF,12/5/15,33,15,6.7
2302,Omri Casspi,SF,11/27/15,28,15,9
2350,Omri Casspi,SF,2/7/16,29,13,6.7
2406,Omri Casspi,SF,1/21/16,38,13,12.9
2430,Omri Casspi,SF,1/13/16,29,7,7.5
2676,Omri Casspi,SF,10/31/15,21,10,6.2
2940,Omri Casspi,SF,3/2/16,26,12,6.9
3087,Omri Casspi,SF,1/28/16,29,8,4.6
3108,Omri Casspi,SF,1/20/16,30,9,2.1
3171,Omri Casspi,SF,12/30/15,36,10,4.6
3191,Omri Casspi,SF,12/23/15,41,15,11
3443,Omri Casspi,SF,1/26/16,24,10,7.9
3466,Omri Casspi,SF,1/23/16,28,8,5.1
3796,Omri Casspi,SF,2/1/16,25,13,9.3
3844,Omri Casspi,SF,1/25/16,32,13,8.6
