,PLAYER,POS,DATE,MP,PTS,GMSC
12465,Al Jefferson,C,11/15/15,30,29,24.4
12578,Al Jefferson,C,4/10/16,21,10,5.2
13290,Al Jefferson,C,2/21/16,24,18,11.8
14983,Al Jefferson,C,2/26/16,21,9,3.8
15280,Al Jefferson,C,12/28/15,15,3,-1
15456,Al Jefferson,C,11/27/15,31,11,8.4
15754,Al Jefferson,C,3/11/16,21,12,7.1
16198,Al Jefferson,C,3/4/16,21,13,11.7
16599,Al Jefferson,C,11/10/15,26,9,4
17148,Al Jefferson,C,11/29/15,7,1,-0.2
17316,Al Jefferson,C,3/26/16,22,15,12.3
17426,Al Jefferson,C,2/28/16,23,6,2.6
17493,Al Jefferson,C,2/19/16,23,6,3.4
17915,Al Jefferson,C,11/5/15,27,31,26.5
17968,Al Jefferson,C,4/5/16,20,5,6
18182,Al Jefferson,C,11/11/15,23,4,1.1
19696,Al Jefferson,C,11/13/15,31,6,5.3
20450,Al Jefferson,C,11/20/15,31,26,23
21576,Al Jefferson,C,4/6/16,29,24,17
21625,Al Jefferson,C,3/21/16,19,3,0.4
21914,Al Jefferson,C,11/17/15,26,10,9
22300,Al Jefferson,C,11/1/15,29,10,9
23031,Al Jefferson,C,10/28/15,22,17,12.2
23253,Al Jefferson,C,10/30/15,30,10,8.4
23567,Al Jefferson,C,11/18/15,30,18,11.4
23632,Al Jefferson,C,11/7/15,30,13,8.9
23656,Al Jefferson,C,11/3/15,21,14,13
24082,Al Jefferson,C,12/26/15,18,2,-2.4
,Al Jefferson Var,,,,51.7372803,
194,Al-Farouq Aminu,SF,3/11/16,21,9,6.5
257,Al-Farouq Aminu,SF,4/3/16,36,10,11.9
419,Al-Farouq Aminu,SF,2/19/16,25,3,1.6
674,Al-Farouq Aminu,SF,4/5/16,21,6,4.3
958,Al-Farouq Aminu,SF,3/28/16,24,14,12.5
1101,Al-Farouq Aminu,SF,3/2/16,20,2,2.9
