,Rk,Player,Age,Pos,Date,Tm,Opp,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Binned PTS
66,67,James Harden,27-203,G,3/17/17,HOU,NOP,1,40,12,21,0.5710000000000001,8,11,0.727,4,10,0.4,13,14,0.929,2,12,14,11,2,0,5,2,41,39.6,40-50
67,68,Isaiah Thomas,27-349,G,1/21/17,BOS,POR,1,44,14,28,0.5,10,17,0.588,4,11,0.364,9,11,0.818,1,2,3,6,0,0,6,1,41,25.3,40-50
68,69,Anthony Davis,23-263,F-C,11/29/16,NOP,LAL,1,41,14,27,0.519,13,23,0.565,1,4,0.25,12,14,0.857,6,10,16,3,4,2,1,4,41,39.0,40-50
69,70,LeBron James,32-093,F-G,4/2/17,CLE,IND,1,52,16,29,0.552,13,19,0.684,3,10,0.3,6,12,0.5,4,10,14,11,2,1,1,4,41,38.3,40-50
70,71,DeMarcus Cousins,26-220,C-F,3/21/17,NOP,MEM,1,37,14,27,0.519,9,18,0.5,5,9,0.556,8,9,0.889,4,12,16,2,2,2,2,5,41,34.5,40-50
71,72,Kawhi Leonard,25-206,F,1/21/17,SAS,CLE,1,46,15,30,0.5,12,22,0.545,3,8,0.375,8,8,1.0,0,6,6,5,1,1,6,3,41,25.8,40-50
72,73,Giannis Antetokounmpo,22-066,F-G,2/10/17,MIL,LAL,1,42,11,20,0.55,10,14,0.7140000000000001,1,6,0.16699999999999998,18,21,0.857,1,7,8,6,2,3,5,3,41,35.1,40-50
73,74,Anthony Davis,24-024,F-C,4/4/17,NOP,DEN,1,41,18,31,0.581,16,26,0.615,2,5,0.4,3,3,1.0,2,3,5,0,1,4,0,3,41,31.4,40-50
74,75,Klay Thompson,27-055,G,4/4/17,GSW,MIN,1,33,13,24,0.542,6,10,0.6,7,14,0.5,8,9,0.889,0,2,2,3,2,1,1,2,41,32.6,40-50
75,76,Kyle Lowry,30-282,G,1/1/17,TOR,LAL,1,39,12,16,0.75,6,9,0.667,6,7,0.857,11,11,1.0,1,8,9,7,0,0,4,3,41,37.4,40-50
76,77,Andrew Wiggins,22-045,F-G,4/9/17,MIN,LAL,1,38,13,26,0.5,11,21,0.524,2,5,0.4,13,14,0.929,1,1,2,1,0,0,2,2,41,26.5,40-50
77,78,DeMar DeRozan,27-156,G,1/10/17,TOR,BOS,1,38,16,29,0.552,15,27,0.556,1,2,0.5,8,9,0.889,2,11,13,0,2,0,1,1,41,32.0,40-50
78,79,Eric Bledsoe,27-050,G,1/28/17,PHO,DEN,1,45,12,27,0.444,9,19,0.474,3,8,0.375,14,15,0.9329999999999999,2,4,6,7,2,0,3,3,41,31.8,40-50
79,80,James Harden,27-160,G,2/2/17,HOU,ATL,1,39,10,23,0.435,5,11,0.455,5,12,0.41700000000000004,16,21,0.762,2,6,8,8,4,0,4,3,41,34.5,40-50
80,81,James Harden,27-067,G,11/1/16,HOU,CLE,1,38,13,20,0.65,8,11,0.727,5,9,0.556,10,14,0.7140000000000001,1,6,7,15,1,0,1,3,41,42.4,40-50
81,82,James Harden,27-137,G,1/10/17,HOU,CHO,1,38,11,24,0.45799999999999996,4,10,0.4,7,14,0.5,11,14,0.7859999999999999,1,14,15,10,0,0,4,3,40,33.1,30-40
82,83,Damian Lillard,26-153,G,12/15/16,POR,DEN,1,38,13,22,0.591,9,14,0.643,4,8,0.5,10,11,0.909,0,3,3,10,0,0,5,2,40,31.5,30-40
83,84,DeMar DeRozan,27-080,G,10/26/16,TOR,DET,1,34,17,27,0.63,17,25,0.68,0,2,0.0,6,6,1.0,1,3,4,1,1,0,6,1,40,24.8,30-40
84,85,Bradley Beal,23-241,G,2/24/17,WAS,PHI,1,42,15,25,0.6,13,17,0.765,2,8,0.25,8,10,0.8,0,4,4,2,1,0,1,3,40,29.1,30-40
85,86,Andrew Wiggins,21-358,F-G,2/15/17,MIN,DEN,1,38,15,26,0.5770000000000001,13,22,0.591,2,4,0.5,8,11,0.727,1,3,4,2,2,0,1,2,40,29.8,30-40
86,87,Lou Williams,30-037,G,12/3/16,LAL,MEM,0,32,11,20,0.55,7,12,0.583,4,8,0.5,14,14,1.0,0,2,2,1,2,0,2,0,40,31.7,30-40
87,88,DeMar DeRozan,27-228,G,3/23/17,TOR,MIA,1,36,14,25,0.56,14,23,0.609,0,2,0.0,12,13,0.9229999999999999,1,5,6,3,1,0,1,0,40,32.0,30-40
88,89,Jimmy Butler,27-105,G-F,12/28/16,CHI,BRK,1,38,14,29,0.483,13,27,0.48100000000000004,1,2,0.5,11,11,1.0,6,4,10,4,4,0,3,2,40,33.7,30-40
89,90,Kemba Walker,26-187,G,11/11/16,CHO,TOR,1,35,12,19,0.632,5,7,0.7140000000000001,7,12,0.583,9,11,0.818,1,9,10,7,0,0,1,2,40,37.2,30-40
90,91,DeMar DeRozan,27-236,G,3/31/17,TOR,IND,1,38,11,26,0.423,8,22,0.364,3,4,0.75,15,20,0.75,2,7,9,4,1,0,3,1,40,28.1,30-40
91,92,Jimmy Butler,27-133,G-F,1/25/17,CHI,ATL,1,40,13,22,0.591,9,14,0.643,4,8,0.5,10,10,1.0,2,2,4,3,3,0,1,0,40,35.9,30-40
92,93,Anthony Davis,23-304,F-C,1/9/17,NOP,NYK,1,29,14,22,0.636,13,21,0.619,1,1,1.0,11,12,0.917,4,14,18,2,0,3,0,2,40,39.5,30-40
93,94,Kevin Love,28-077,F,11/23/16,CLE,POR,1,32,12,20,0.6,4,8,0.5,8,12,0.667,8,8,1.0,4,4,8,3,1,1,1,2,40,36.8,30-40
94,95,Kevin Durant,28-111,F-G,1/18/17,GSW,OKC,1,34,13,16,0.813,8,9,0.889,5,7,0.7140000000000001,9,10,0.9,2,10,12,4,0,3,2,2,40,40.1,30-40
95,96,James Harden,27-169,G,2/11/17,HOU,PHO,1,29,9,17,0.529,1,2,0.5,8,15,0.5329999999999999,14,16,0.875,1,5,6,8,0,0,8,2,40,29.9,30-40
96,97,Nikola Jokic,21-357,C-F,2/10/17,DEN,NYK,1,37,17,23,0.7390000000000001,15,20,0.75,2,3,0.667,4,5,0.8,4,5,9,5,2,0,2,2,40,37.3,30-40
97,98,Jimmy Butler,27-067,G-F,11/20/16,CHI,LAL,1,40,14,23,0.609,14,22,0.636,0,1,0.0,12,14,0.857,4,3,7,6,1,0,1,1,40,36.2,30-40
98,99,James Harden,27-135,G,1/8/17,HOU,TOR,1,38,13,26,0.5,9,17,0.529,4,9,0.444,10,10,1.0,3,7,10,11,2,2,10,3,40,31.1,30-40
99,100,Stephen Curry,28-298,G,1/6/17,GSW,MEM,1,42,15,27,0.556,10,14,0.7140000000000001,5,13,0.385,5,5,1.0,0,3,3,6,1,1,4,2,40,29.1,30-40
100,101,James Harden,27-144,G,1/17/17,HOU,MIA,1,39,12,30,0.4,8,15,0.5329999999999999,4,15,0.267,12,13,0.9229999999999999,1,11,12,10,2,0,6,3,40,29.2,30-40
101,102,Russell Westbrook,28-141,G,4/2/17,OKC,CHO,1,36,14,31,0.452,7,16,0.43799999999999994,7,15,0.467,5,5,1.0,1,12,13,10,2,0,8,1,40,28.8,30-40
102,103,D'Angelo Russell,21-024,G,3/19/17,LAL,CLE,1,41,14,22,0.636,7,10,0.7,7,12,0.583,5,7,0.7140000000000001,0,2,2,6,2,0,1,2,40,34.4,30-40
103,104,James Harden,27-204,G,3/18/17,HOU,DEN,1,37,11,23,0.478,8,15,0.5329999999999999,3,8,0.375,15,17,0.882,0,10,10,10,2,0,8,3,40,30.3,30-40
104,105,Damian Lillard,26-131,G,11/23/16,POR,CLE,1,38,13,21,0.619,8,14,0.5710000000000001,5,7,0.7140000000000001,9,9,1.0,0,7,7,11,0,0,2,4,40,36.7,30-40
105,106,Zach LaVine,21-288,G,12/23/16,MIN,SAC,1,39,13,21,0.619,6,9,0.667,7,12,0.583,7,7,1.0,0,6,6,2,1,0,2,5,40,30.7,30-40
106,107,Karl-Anthony Towns,21-145,C-F,4/9/17,MIN,LAL,1,41,17,22,0.773,16,20,0.8,1,2,0.5,5,8,0.625,3,18,21,4,1,1,3,3,40,38.0,30-40
107,108,DeMar DeRozan,27-087,G,11/2/16,TOR,WAS,1,37,14,23,0.609,13,21,0.619,1,2,0.5,11,16,0.688,1,4,5,5,2,0,1,3,40,32.7,30-40
108,109,DeMarcus Cousins,26-185,C-F,2/14/17,SAC,LAL,1,36,13,24,0.542,11,17,0.647,2,7,0.28600000000000003,12,19,0.632,2,10,12,8,2,1,6,2,40,31.5,30-40
109,110,Eric Bledsoe,27-044,G,1/22/17,PHO,TOR,1,42,11,17,0.647,7,10,0.7,4,7,0.5710000000000001,14,14,1.0,0,6,6,13,0,0,4,3,40,38.2,30-40
110,111,Kevin Durant,28-035,F-G,11/3/16,GSW,OKC,1,31,15,24,0.625,8,13,0.615,7,11,0.636,2,3,0.667,1,6,7,1,0,1,2,3,39,28.5,30-40
111,112,Stephen Curry,28-324,G,2/1/17,GSW,CHO,1,30,14,20,0.7,3,5,0.6,11,15,0.733,0,0,,1,4,5,8,3,0,1,2,39,39.3,30-40
112,113,Jimmy Butler,27-200,G-F,4/2/17,CHI,NOP,1,39,14,26,0.5379999999999999,11,23,0.478,3,3,1.0,8,10,0.8,3,3,6,5,1,1,1,0,39,32.8,30-40
113,114,Russell Westbrook,28-134,G,3/26/17,OKC,HOU,1,39,13,24,0.542,10,15,0.667,3,9,0.33299999999999996,10,16,0.625,0,11,11,13,0,0,5,4,39,30.8,30-40
114,115,Damian Lillard,26-102,G,10/25/16,POR,UTA,1,35,13,20,0.65,9,14,0.643,4,6,0.667,9,9,1.0,1,8,9,6,0,0,4,3,39,32.3,30-40
115,116,Giannis Antetokounmpo,22-017,F-G,12/23/16,MIL,WAS,1,33,12,19,0.632,12,18,0.667,0,1,0.0,15,17,0.882,1,7,8,6,2,1,1,1,39,38.0,30-40
116,117,Kevin Love,28-152,F,2/6/17,CLE,WAS,1,42,11,17,0.647,5,7,0.7140000000000001,6,10,0.6,11,11,1.0,4,8,12,3,3,0,4,3,39,36.6,30-40
117,118,Isaiah Thomas,27-346,G,1/18/17,BOS,NYK,1,37,12,25,0.48,7,13,0.5379999999999999,5,12,0.41700000000000004,10,10,1.0,2,1,3,2,1,0,2,0,39,28.4,30-40
118,119,Devin Booker,20-074,G,1/12/17,PHO,DAL,1,37,14,20,0.7,8,13,0.615,6,7,0.857,5,7,0.7140000000000001,0,1,1,3,1,0,7,4,39,24.6,30-40
119,120,Gordon Hayward,27-015,F-G,4/7/17,UTA,MIN,1,39,14,22,0.636,10,17,0.588,4,5,0.8,7,8,0.875,0,3,3,5,2,0,2,3,39,32.0,30-40
120,121,Devin Booker,20-076,G,1/14/17,PHO,SAS,1,37,12,22,0.545,9,17,0.529,3,5,0.6,12,12,1.0,2,0,2,2,0,0,3,4,39,26.6,30-40
121,122,James Harden,27-192,G,3/6/17,HOU,SAS,1,36,13,20,0.65,7,11,0.636,6,9,0.667,7,8,0.875,1,2,3,12,0,0,7,2,39,31.7,30-40
122,123,C.J. McCollum,25-190,G,3/28/17,POR,DEN,1,40,15,24,0.625,12,19,0.632,3,5,0.6,6,6,1.0,0,5,5,3,1,0,1,2,39,31.0,30-40
123,124,James Harden,27-206,G,3/20/17,HOU,DEN,1,40,13,29,0.44799999999999995,9,18,0.5,4,11,0.364,9,11,0.818,1,6,7,11,4,0,6,4,39,29.7,30-40
124,125,Kyrie Irving,24-249,G,11/27/16,CLE,PHI,1,41,14,27,0.519,9,16,0.563,5,11,0.455,6,6,1.0,1,3,4,2,0,0,1,0,39,27.7,30-40
125,126,Jimmy Butler,27-056,G-F,11/9/16,CHI,ATL,1,39,13,24,0.542,9,15,0.6,4,9,0.444,9,12,0.75,1,3,4,7,6,0,4,1,39,34.3,30-40
126,127,Devin Booker,20-007,G,11/6/16,PHO,LAL,1,45,13,29,0.44799999999999995,10,22,0.455,3,7,0.429,10,10,1.0,1,2,3,7,0,0,2,3,39,26.9,30-40
127,128,Damian Lillard,26-240,G,3/12/17,POR,PHO,1,38,13,26,0.5,9,16,0.563,4,10,0.4,9,9,1.0,1,5,6,2,1,0,4,3,39,25.4,30-40
128,129,Paul George,26-317,F,3/15/17,IND,CHO,1,33,15,21,0.7140000000000001,9,11,0.818,6,10,0.6,3,3,1.0,1,4,5,3,3,0,3,3,39,33.1,30-40
129,130,Kawhi Leonard,25-250,F,3/6/17,SAS,HOU,1,39,12,18,0.667,8,13,0.615,4,5,0.8,11,11,1.0,0,6,6,5,1,2,1,1,39,37.5,30-40
130,131,Kevin Durant,28-063,F-G,12/1/16,GSW,HOU,1,49,12,28,0.429,9,17,0.529,3,11,0.273,12,12,1.0,1,13,14,2,3,3,2,3,39,32.1,30-40
