GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,43,13,24,8,15,5,9,7,7,2,8,10,3,1,1,2,1,38,31.6
1,39,14,27,8,17,6,10,4,8,1,12,13,8,0,0,2,4,38,29.4
1,38,14,29,9,18,5,11,5,6,3,2,5,5,0,0,4,1,38,24.7
1,32,12,20,10,15,2,5,12,14,1,3,4,3,1,0,3,2,38,28.9
1,41,13,22,10,15,3,7,9,9,0,4,4,3,0,0,6,6,38,22.7
1,37,12,29,10,22,2,7,12,14,4,9,13,7,3,1,4,4,38,30.2
1,38,8,20,3,13,5,7,17,17,2,11,13,12,3,0,5,2,38,37.5
1,35,13,22,10,14,3,8,8,8,0,5,5,5,0,0,4,2,37,27
1,41,15,28,13,20,2,8,5,5,1,4,5,7,2,1,5,2,37,27.1
1,44,11,21,8,14,3,7,12,14,2,8,10,6,1,2,0,1,37,35.9
1,35,12,21,7,13,5,8,8,11,2,11,13,4,3,1,5,5,37,30.1
1,37,16,24,15,22,1,2,4,4,9,13,22,3,1,1,4,2,37,35.8
1,33,11,19,9,16,2,3,13,15,1,3,4,7,1,0,2,2,37,32
1,36,14,22,7,13,7,9,2,3,0,4,4,3,1,0,0,1,37,30.7
1,36,13,24,9,19,4,5,7,9,2,9,11,2,4,1,1,2,37,33
1,38,13,29,8,20,5,9,6,8,0,5,5,4,1,0,1,3,37,24.2
1,39,13,23,7,11,6,12,5,6,0,4,4,2,1,1,1,4,37,27.4
1,40,14,22,10,13,4,9,5,7,0,7,7,6,0,0,2,2,37,29.9
1,39,13,22,13,20,0,2,11,15,0,4,4,6,3,0,4,2,37,28.8
1,37,14,21,12,19,2,2,7,8,1,3,4,11,2,1,3,2,37,35.7
1,36,13,27,8,17,5,10,6,7,1,4,5,3,3,0,2,2,37,27.1
1,38,10,16,8,12,2,4,15,16,0,4,4,4,4,1,4,2,37,33.3
1,42,13,23,10,16,3,7,8,9,3,5,8,6,0,0,0,2,37,32.7
1,36,15,30,13,21,2,9,5,5,0,13,13,10,2,0,6,0,37,28.9
1,41,17,24,16,22,1,2,2,2,5,7,12,5,1,0,2,3,37,33.9
1,35,8,14,5,9,3,5,18,18,1,7,8,7,3,0,10,2,37,30.3
1,36,15,26,13,23,2,3,5,8,4,9,13,1,1,4,2,1,37,31.2
